Productivity,Communication,Leadership,Learning,Collaboration,Productivity_Level,Communication_Level,Leadership_Level,Learning_Level,Collaboration_Level,Overall_Behavior_Score,Overall_Behavior_Level
60.0,33.75,67.5,86.25,80.0,Moderate,Low,Moderate,High,High,65.5,Moderate
30.0,81.25,45.0,86.25,84.0,Low,High,Moderate,High,High,65.3,Moderate
90.0,55.0,70.0,83.75,59.5,High,Moderate,High,High,Moderate,71.65,High
90.0,66.25,40.0,83.75,76.0,High,Moderate,Moderate,High,High,71.2,High
90.0,31.25,32.5,81.25,90.5,High,Low,Low,High,High,65.1,Moderate
60.0,51.25,67.5,75.0,83.0,Moderate,Moderate,Moderate,High,High,67.35,Moderate
90.0,40.0,45.0,77.5,58.0,High,Moderate,Moderate,High,Moderate,62.1,Moderate
60.0,80.0,37.5,37.5,57.5,Moderate,High,Low,Low,Moderate,54.5,Moderate
80.0,16.25,57.5,56.25,31.5,High,Low,Moderate,Moderate,Low,48.3,Moderate
40.0,51.25,45.0,36.25,52.5,Moderate,Moderate,Moderate,Low,Moderate,45.0,Moderate
50.0,21.25,52.5,5.0,50.5,Moderate,Low,Moderate,Low,Moderate,35.85,Low
70.0,32.5,92.5,85.0,45.0,High,Low,High,High,Moderate,65.0,Moderate
50.0,66.25,52.5,56.25,73.5,Moderate,Moderate,Moderate,Moderate,High,59.7,Moderate
80.0,51.25,57.5,61.25,85.5,High,Moderate,Moderate,Moderate,High,67.1,Moderate
60.0,61.25,90.0,22.5,82.5,Moderate,Moderate,High,Low,High,63.25,Moderate
40.0,42.5,85.0,92.5,53.5,Moderate,Moderate,High,High,Moderate,62.7,Moderate
40.0,41.25,20.0,48.75,82.5,Moderate,Moderate,Low,Moderate,High,46.5,Moderate
90.0,66.25,32.5,41.25,60.0,High,Moderate,Low,Moderate,Moderate,58.0,Moderate
50.0,22.5,57.5,53.75,41.5,Moderate,Low,Moderate,Moderate,Moderate,45.05,Moderate
80.0,45.0,40.0,42.5,71.0,High,Moderate,Moderate,Moderate,High,55.7,Moderate
40.0,36.25,32.5,61.25,42.0,Moderate,Low,Low,Moderate,Moderate,42.4,Moderate
50.0,51.25,65.0,53.75,86.5,Moderate,Moderate,Moderate,Moderate,High,61.3,Moderate
40.0,51.25,25.0,61.25,56.5,Moderate,Moderate,Low,Moderate,Moderate,46.8,Moderate
40.0,26.25,47.5,36.25,90.0,Moderate,Low,Moderate,Low,High,48.0,Moderate
50.0,41.25,67.5,60.0,90.5,Moderate,Moderate,Moderate,Moderate,High,61.85,Moderate
40.0,36.25,47.5,71.25,54.0,Moderate,Low,Moderate,High,Moderate,49.8,Moderate
90.0,42.5,22.5,45.0,63.5,High,Moderate,Low,Moderate,Moderate,52.7,Moderate
90.0,62.5,57.5,31.25,26.5,High,Moderate,Moderate,Low,Low,53.55,Moderate
80.0,52.5,52.5,78.75,73.0,High,Moderate,Moderate,High,High,67.35,Moderate
90.0,38.75,95.0,47.5,58.5,High,Low,High,Moderate,Moderate,65.95,Moderate
40.0,17.5,35.0,17.5,97.0,Moderate,Low,Low,Low,High,41.4,Moderate
40.0,18.75,52.5,65.0,73.0,Moderate,Low,Moderate,Moderate,High,49.85,Moderate
80.0,17.5,32.5,13.75,74.5,High,Low,Low,Low,High,43.65,Moderate
40.0,38.75,35.0,90.0,45.0,Moderate,Low,Low,High,Moderate,49.75,Moderate
70.0,71.25,65.0,35.0,59.0,High,High,Moderate,Low,Moderate,60.05,Moderate
50.0,42.5,40.0,68.75,63.0,Moderate,Moderate,Moderate,Moderate,Moderate,52.85,Moderate
50.0,42.5,12.5,42.5,93.5,Moderate,Moderate,Low,Moderate,High,48.2,Moderate
90.0,31.25,95.0,21.25,73.0,High,Low,High,Low,High,62.1,Moderate
70.0,76.25,20.0,68.75,62.5,High,High,Low,Moderate,Moderate,59.5,Moderate
50.0,28.75,35.0,42.5,46.5,Moderate,Low,Low,Moderate,Moderate,40.55,Moderate
50.0,66.25,45.0,53.75,43.0,Moderate,Moderate,Moderate,Moderate,Moderate,51.6,Moderate
60.0,80.0,107.5,71.25,41.5,Moderate,High,High,High,Moderate,72.05,High
90.0,70.0,62.5,88.75,76.0,High,High,Moderate,High,High,77.45,High
30.0,48.75,40.0,51.25,79.5,Low,Moderate,Moderate,Moderate,High,49.9,Moderate
40.0,60.0,57.5,78.75,88.5,Moderate,Moderate,Moderate,High,High,64.95,Moderate
30.0,46.25,27.5,47.5,37.0,Low,Moderate,Low,Moderate,Low,37.65,Low
20.0,21.25,32.5,40.0,64.0,Low,Low,Low,Moderate,Moderate,35.55,Low
100.0,32.5,20.0,52.5,92.5,High,Low,Low,Moderate,High,59.5,Moderate
50.0,70.0,75.0,70.0,47.5,Moderate,High,High,High,Moderate,62.5,Moderate
60.0,80.0,92.5,56.25,48.5,Moderate,High,High,Moderate,Moderate,67.45,Moderate
70.0,40.0,20.0,76.25,83.5,High,Moderate,Low,High,High,57.95,Moderate
20.0,60.0,90.0,57.5,61.0,Low,Moderate,High,Moderate,Moderate,57.7,Moderate
80.0,66.25,57.5,80.0,75.5,High,Moderate,Moderate,High,High,71.85,High
80.0,27.5,100.0,87.5,41.5,High,Low,High,High,Moderate,67.3,Moderate
70.0,76.25,70.0,16.25,39.0,High,High,High,Low,Low,54.3,Moderate
90.0,48.75,60.0,33.75,99.0,High,Moderate,Moderate,Low,High,66.3,Moderate
70.0,50.0,30.0,61.25,90.0,High,Moderate,Low,Moderate,High,60.25,Moderate
60.0,37.5,65.0,71.25,61.0,Moderate,Low,Moderate,High,Moderate,58.95,Moderate
70.0,66.25,17.5,48.75,33.0,High,Moderate,Low,Moderate,Low,47.1,Moderate
70.0,41.25,67.5,62.5,55.5,High,Moderate,Moderate,Moderate,Moderate,59.35,Moderate
40.0,45.0,20.0,40.0,71.0,Moderate,Moderate,Low,Moderate,High,43.2,Moderate
60.0,55.0,45.0,92.5,50.5,Moderate,Moderate,Moderate,High,Moderate,60.6,Moderate
80.0,28.75,57.5,83.75,53.0,High,Low,Moderate,High,Moderate,60.6,Moderate
50.0,57.5,100.0,82.5,44.0,Moderate,Moderate,High,High,Moderate,66.8,Moderate
80.0,32.5,47.5,53.75,79.5,High,Low,Moderate,Moderate,High,58.65,Moderate
60.0,76.25,52.5,82.5,36.0,Moderate,High,Moderate,High,Low,61.45,Moderate
70.0,40.0,100.0,71.25,81.5,High,Moderate,High,High,High,72.55,High
60.0,32.5,82.5,92.5,67.0,Moderate,Low,High,High,Moderate,66.9,Moderate
100.0,35.0,60.0,0.0,84.5,High,Low,Moderate,Low,High,55.9,Moderate
60.0,45.0,45.0,73.75,94.5,Moderate,Moderate,Moderate,High,High,63.65,Moderate
30.0,15.0,67.5,81.25,76.0,Low,Low,Moderate,High,High,53.95,Moderate
40.0,42.5,62.5,58.75,50.0,Moderate,Moderate,Moderate,Moderate,Moderate,50.75,Moderate
90.0,43.75,47.5,72.5,63.5,High,Moderate,Moderate,High,Moderate,63.45,Moderate
80.0,17.5,52.5,35.0,68.5,High,Low,Moderate,Low,Moderate,50.7,Moderate
40.0,41.25,60.0,65.0,61.5,Moderate,Moderate,Moderate,Moderate,Moderate,53.55,Moderate
60.0,61.25,77.5,63.75,53.5,Moderate,Moderate,High,Moderate,Moderate,63.2,Moderate
30.0,80.0,80.0,52.5,85.0,Low,High,High,Moderate,High,65.5,Moderate
50.0,65.0,27.5,85.0,69.0,Moderate,Moderate,Low,High,Moderate,59.3,Moderate
60.0,46.25,22.5,43.75,88.0,Moderate,Moderate,Low,Moderate,High,52.1,Moderate
40.0,33.75,55.0,87.5,49.0,Moderate,Low,Moderate,High,Moderate,53.05,Moderate
20.0,76.25,50.0,77.5,84.0,Low,High,Moderate,High,High,61.55,Moderate
80.0,28.75,42.5,48.75,92.0,High,Low,Moderate,Moderate,High,58.4,Moderate
40.0,53.75,15.0,47.5,65.5,Moderate,Moderate,Low,Moderate,Moderate,44.35,Moderate
50.0,50.0,90.0,71.25,38.5,Moderate,Moderate,High,High,Low,59.95,Moderate
70.0,66.25,32.5,41.25,29.5,High,Moderate,Low,Moderate,Low,47.9,Moderate
20.0,32.5,60.0,70.0,28.0,Low,Low,Moderate,High,Low,42.1,Moderate
90.0,31.25,77.5,48.75,60.5,High,Low,High,Moderate,Moderate,61.6,Moderate
50.0,51.25,77.5,63.75,58.5,Moderate,Moderate,High,Moderate,Moderate,60.2,Moderate
60.0,27.5,42.5,75.0,52.0,Moderate,Low,Moderate,High,Moderate,51.4,Moderate
40.0,62.5,20.0,58.75,70.5,Moderate,Moderate,Low,Moderate,High,50.35,Moderate
20.0,17.5,72.5,30.0,67.5,Low,Low,High,Low,Moderate,41.5,Moderate
90.0,47.5,50.0,60.0,59.0,High,Moderate,Moderate,Moderate,Moderate,61.3,Moderate
50.0,70.0,50.0,92.5,61.5,Moderate,High,Moderate,High,Moderate,64.8,Moderate
60.0,20.0,40.0,56.25,31.0,Moderate,Low,Moderate,Moderate,Low,41.45,Moderate
90.0,47.5,45.0,81.25,73.5,High,Moderate,Moderate,High,High,67.45,Moderate
40.0,36.25,57.5,82.5,52.5,Moderate,Low,Moderate,High,Moderate,53.75,Moderate
70.0,31.25,77.5,48.75,41.0,High,Low,High,Moderate,Moderate,53.7,Moderate
60.0,55.0,20.0,76.25,88.0,Moderate,Moderate,Low,High,High,59.85,Moderate
30.0,80.0,22.5,43.75,69.0,Low,High,Low,Moderate,Moderate,49.05,Moderate
90.0,48.75,35.0,58.75,53.5,High,Moderate,Low,Moderate,Moderate,57.2,Moderate
40.0,56.25,35.0,73.75,52.0,Moderate,Moderate,Low,High,Moderate,51.4,Moderate
70.0,55.0,55.0,83.75,34.5,High,Moderate,Moderate,High,Low,59.65,Moderate
30.0,48.75,47.5,58.75,53.5,Low,Moderate,Moderate,Moderate,Moderate,47.7,Moderate
50.0,40.0,32.5,80.0,57.5,Moderate,Moderate,Low,High,Moderate,52.0,Moderate
50.0,36.25,45.0,58.75,83.5,Moderate,Low,Moderate,Moderate,High,54.7,Moderate
50.0,45.0,92.5,72.5,84.5,Moderate,Moderate,High,High,High,68.9,Moderate
100.0,51.25,120.0,21.25,25.0,High,Moderate,High,Low,Low,63.5,Moderate
40.0,26.25,40.0,95.0,56.5,Moderate,Low,Moderate,High,Moderate,51.55,Moderate
40.0,26.25,77.5,43.75,50.0,Moderate,Low,High,Moderate,Moderate,47.5,Moderate
40.0,57.5,10.0,88.75,63.0,Moderate,Moderate,Low,High,Moderate,51.85,Moderate
80.0,52.5,42.5,47.5,43.0,High,Moderate,Moderate,Moderate,Moderate,53.1,Moderate
70.0,52.5,57.5,81.25,79.0,High,Moderate,Moderate,High,High,68.05,Moderate
50.0,72.5,37.5,62.5,66.5,Moderate,High,Low,Moderate,Moderate,57.8,Moderate
80.0,46.25,45.0,63.75,91.5,High,Moderate,Moderate,Moderate,High,65.3,Moderate
70.0,25.0,105.0,61.25,65.5,High,Low,High,Moderate,Moderate,65.35,Moderate
40.0,40.0,37.5,46.25,70.5,Moderate,Moderate,Low,Moderate,High,46.85,Moderate
30.0,30.0,70.0,40.0,87.5,Low,Low,High,Moderate,High,51.5,Moderate
50.0,60.0,20.0,55.0,72.5,Moderate,Moderate,Low,Moderate,High,51.5,Moderate
50.0,51.25,72.5,78.75,57.5,Moderate,Moderate,High,High,Moderate,62.0,Moderate
70.0,22.5,47.5,97.5,61.5,High,Low,Moderate,High,Moderate,59.8,Moderate
70.0,41.25,50.0,35.0,71.0,High,Moderate,Moderate,Low,High,53.45,Moderate
50.0,76.25,42.5,57.5,78.5,Moderate,High,Moderate,Moderate,High,60.95,Moderate
60.0,30.0,47.5,73.75,73.5,Moderate,Low,Moderate,High,High,56.95,Moderate
50.0,22.5,65.0,90.0,99.0,Moderate,Low,Moderate,High,High,65.3,Moderate
50.0,75.0,37.5,83.75,55.0,Moderate,High,Low,High,Moderate,60.25,Moderate
0.0,0.0,0.0,,0.0,Low,Low,Low,High,Low,0.0,Low
